time_s,v_m_s,omega_rad_s,clearance_m
1.660000000000000142e+01,-4.308333702257821467e-05,4.425283002622466821e-05,1.308143950373467979e+00
1.669999999999999929e+01,3.453647339915423727e-05,-2.754313971903114833e-05,1.308147230766780078e+00
1.680000000000000071e+01,-1.122247437446545829e-05,-6.763778193952761641e-06,1.308146164816408774e+00
1.690000000000000213e+01,-3.127202903507116279e-05,5.278262474247338160e-05,1.308143194488145866e+00
1.700000000000000000e+01,5.423020826030673300e-05,-8.135349855782365164e-05,1.308148345457234241e+00
1.710000000000000142e+01,-3.132234235845156138e-05,-5.211469718035231791e-05,1.308145370346697201e+00
1.719999999999999929e+01,-4.332812856852911662e-06,5.405792325601736087e-05,1.308144958799650759e+00
1.730000000000000071e+01,-4.648761774993671186e-06,-2.234663352121846885e-05,1.308144517243375216e+00
1.740000000000000213e+01,6.910330843639322582e-06,3.169024088258472899e-05,1.308145173612182299e+00
1.750000000000000000e+01,1.924034818423406117e-05,1.339050979511438588e-05,1.308147001129966291e+00
1.760000000000000142e+01,1.778796119585208946e-06,-1.309721352480471696e-05,1.308147170086387590e+00
1.769999999999999929e+01,1.601545254858874681e-05,-4.661150268395371221e-06,1.308148691292150501e+00
1.780000000000000071e+01,-9.203016215684556647e-06,4.433418497309590811e-06,1.308147817156138704e+00
1.790000000000000213e+01,-2.480529821593884486e-05,-1.037159703051130505e-05,1.308145461059192716e+00
1.800000000000000000e+01,9.014059895004651601e-07,-2.575316140394218190e-05,1.308145546678015636e+00
1.810000000000000142e+01,-1.875164921575234872e-06,1.444827293087432019e-05,1.308145368567874112e+00
1.819999999999999929e+01,2.149340469946949862e-05,-5.823583396934780415e-05,1.308147410090609197e+00
1.830000000000000071e+01,-1.992512311819213781e-05,2.932679980724786639e-05,1.308145517525393764e+00
1.840000000000000213e+01,-1.138127185893724955e-05,6.352553502624470189e-05,1.308144436489374840e+00
1.850000000000000000e+01,2.313015643218914626e-05,3.324054552157965081e-05,1.308146633474157383e+00
1.860000000000000142e+01,-1.662185060812264997e-05,6.052562846489781961e-05,1.308145054673170105e+00
1.869999999999999929e+01,4.577226722142155313e-05,-3.341139399092290380e-05,1.308149402273606876e+00
1.880000000000000071e+01,-6.082249354129451099e-05,-1.888464967218610180e-06,1.308143625147176525e+00
1.890000000000000213e+01,1.803794698115586230e-05,9.205050857148330823e-06,1.308145338452289641e+00
1.900000000000000000e+01,7.605868164579660667e-06,-5.854413794293550355e-06,1.308146060883184525e+00
1.910000000000000142e+01,9.939623961087483764e-06,1.880800055551346689e-05,1.308147004982287864e+00
1.920000000000000284e+01,2.409715065100756157e-05,-6.528070032111622789e-05,1.308149293810051850e+00
1.930000000000000071e+01,-2.973137313141754542e-05,-4.248936741652834664e-05,1.308146469819032154e+00
1.940000000000000213e+01,1.428934575059439931e-05,-4.903157036793056450e-05,1.308147827073468550e+00
1.950000000000000000e+01,-2.240054191955079439e-05,4.502991885151422236e-05,1.308145699384521299e+00
1.960000000000000142e+01,1.384921943809358687e-05,1.063346673444050261e-05,1.308147014834234456e+00
1.970000000000000284e+01,-2.771350271561041564e-05,3.978581682125177654e-05,1.308144382505055159e+00
1.980000000000000071e+01,2.696638023200474861e-05,-3.333961752918258858e-05,1.308146943866463907e+00
1.990000000000000213e+01,-2.029412389983669893e-06,-2.023912632005339662e-05,1.308146751105524475e+00
2.000000000000000000e+01,-6.675709854755745506e-06,4.028104290517905972e-05,1.308146117022021215e+00
2.010000000000000142e+01,1.073322599012046380e-06,7.863435525491853373e-06,1.308146218970015928e+00
2.020000000000000284e+01,-2.533565000840108140e-05,9.030738645623113958e-06,1.308143812500784264e+00
2.030000000000000071e+01,3.967066163600976511e-05,-3.459048755136834297e-05,1.308147580558978840e+00
