time_s,x_m,y_m,theta_rad
1.819999999999999929e+01,4.875334586744592080e+00,3.608038705605802310e+00,6.758072239767042300e-01
1.830000000000000071e+01,4.875336263664894254e+00,3.608040050076982919e+00,6.758014003933072722e-01
1.840000000000000213e+01,4.875334709095017871e+00,3.608038803715152731e+00,6.758043330732880216e-01
1.850000000000000000e+01,4.875333821123551736e+00,3.608038091788073221e+00,6.758106856267906970e-01
1.860000000000000142e+01,4.875335625738586032e+00,3.608039538648792899e+00,6.758140096813428643e-01
1.869999999999999929e+01,4.875334328905092995e+00,3.608038498897828905e+00,6.758200622441893346e-01
1.880000000000000071e+01,4.875337900030989324e+00,3.608041362124033480e+00,6.758167211047902967e-01
1.890000000000000213e+01,4.875333154682401471e+00,3.608037557465837430e+00,6.758165322582935230e-01
1.900000000000000000e+01,4.875334561996607086e+00,3.608038685801797651e+00,6.758174527633792339e-01
1.910000000000000142e+01,4.875335155403297094e+00,3.608039161575699261e+00,6.758168673219998590e-01
1.920000000000000284e+01,4.875335930889013625e+00,3.608039783333810036e+00,6.758187481220554460e-01
1.930000000000000071e+01,4.875337810936794192e+00,3.608041290698078996e+00,6.758122200520233491e-01
1.940000000000000213e+01,4.875335491297621004e+00,3.608039430907878931e+00,6.758079711152816804e-01
1.950000000000000000e+01,4.875336606154944796e+00,3.608040324746324856e+00,6.758030679582448519e-01
1.960000000000000142e+01,4.875334858453767239e+00,3.608038923538496423e+00,6.758075709501299988e-01
1.970000000000000284e+01,4.875335938972703786e+00,3.608039789845380874e+00,6.758086342968034899e-01
1.980000000000000071e+01,4.875333776761390681e+00,3.608038056287027562e+00,6.758126128784855968e-01
1.990000000000000213e+01,4.875335880675393696e+00,3.608039743119116682e+00,6.758092789167327030e-01
2.000000000000000000e+01,4.875335722340440547e+00,3.608039616173502218e+00,6.758072550041006599e-01
2.010000000000000142e+01,4.875335201500059057e+00,3.608039198589597429e+00,6.758112831083912253e-01
2.020000000000000284e+01,4.875335285240658401e+00,3.608039265729197975e+00,6.758120694519437199e-01
2.030000000000000071e+01,4.875333308555186207e+00,3.608037680905499034e+00,6.758129725258082976e-01
2.040000000000000213e+01,4.875336403654926265e+00,3.608040162431550790e+00,6.758095134770532031e-01
2.050000000000000000e+01,4.875337006165008980e+00,3.608040645496394028e+00,6.758044830293450378e-01
2.060000000000000142e+01,4.875333232813374273e+00,3.608037620227972919e+00,6.758092393013458432e-01
2.070000000000000284e+01,4.875333523136641034e+00,3.608037852995670036e+00,6.758127653350531894e-01
2.080000000000000071e+01,4.875334865221325309e+00,3.608038929024545816e+00,6.758122313457196606e-01
2.090000000000000213e+01,4.875336533594150090e+00,3.608040266656508788e+00,6.758123096101640304e-01
2.100000000000000000e+01,4.875335036787284970e+00,3.608039066578805798e+00,6.758103776136819008e-01
2.110000000000000142e+01,4.875333439633624089e+00,3.608037786052271212e+00,6.758107098595365070e-01
2.120000000000000284e+01,4.875334809941286984e+00,3.608038884704555471e+00,6.758110240941629376e-01
2.130000000000000071e+01,4.875334082601521679e+00,3.608038301555215099e+00,6.758154944625199834e-01
2.140000000000000213e+01,4.875335131422041002e+00,3.608039142461521465e+00,6.758138514535603214e-01
2.150000000000000000e+01,4.875334960231181292e+00,3.608039005207352101e+00,6.758089461971582557e-01
2.160000000000000142e+01,4.875335650068896243e+00,3.608039558286826765e+00,6.758132782742716227e-01
2.170000000000000284e+01,4.875334036329589615e+00,3.608038264454971777e+00,6.758148542641581047e-01
2.180000000000000071e+01,4.875335753112456594e+00,3.608039640907491741e+00,6.758088712216389071e-01
2.190000000000000213e+01,4.875334400634323551e+00,3.608038556554224119e+00,6.758103398747272728e-01
2.200000000000000000e+01,4.875334515942770786e+00,3.608038649003384446e+00,6.758111351176883108e-01
2.210000000000000142e+01,4.875334987081187954e+00,3.608039026741729938e+00,6.758107345257965415e-01
2.220000000000000284e+01,4.875334542804073301e+00,3.608038670539904569e+00,6.758137054772772601e-01
2.230000000000000071e+01,4.875336487857400591e+00,3.608040230007500959e+00,6.758087825308219942e-01
2.240000000000000213e+01,4.875336645330267338e+00,3.608040356261806192e+00,6.758058658600809565e-01
2.250000000000000000e+01,4.875335561729490230e+00,3.608039487487088692e+00,6.758014556673398454e-01
2.260000000000000142e+01,4.875332389883666018e+00,3.608036944489135145e+00,6.758082155502302957e-01
2.270000000000000284e+01,4.875335604598018513e+00,3.608039521892233203e+00,6.758072117545781410e-01
2.280000000000000071e+01,4.875336385221002544e+00,3.608040147756848004e+00,6.758070867520463709e-01
2.290000000000000213e+01,4.875333700614443266e+00,3.608037995373619022e+00,6.758106173590998633e-01
2.300000000000000000e+01,4.875335443741064090e+00,3.608039392935445733e+00,6.758155198829682853e-01
2.310000000000000142e+01,4.875335057938277927e+00,3.608039083612728515e+00,6.758171144895616100e-01
2.320000000000000284e+01,4.875336922532388151e+00,3.608040578581718005e+00,6.758156752901700592e-01
2.330000000000000071e+01,4.875336764426686287e+00,3.608040451818245842e+00,6.758136512200785262e-01
2.340000000000000213e+01,4.875335438826189360e+00,3.608039389003791619e+00,6.758136125507228087e-01
2.350000000000000000e+01,4.875335278850339016e+00,3.608039260741442877e+00,6.758196668151373876e-01
2.360000000000000142e+01,4.875337175121038591e+00,3.608040781115609885e+00,6.758135976231254283e-01
